profile,segment,face,hat_virtual_midline_length_mm,solid_section_virtual_midline_length_mm,length_error_mm,turn_error_deg,paint_normal_error_deg,status
B-B,1,F17,19.0,19.0,0.0,0.0,0.0,PASS
B-B,2,F13,38.00000000008731,38.0,8.731149137020111e-11,0.0,0.0,PASS
B-B,3,F14,25.0,25.0,0.0,0.0,0.0,PASS
B-B,4,F1,1977.9997455005941,1978.0,0.00025449940585531294,0.0,0.0,PASS
B-B,5,F15,23.0,23.0,0.0,0.0,0.0,PASS
B-B,6,F16,17.0,17.0,0.0,,0.0,PASS
SIDE_LEFT,1,F7,19.0,19.0,0.0,0.0,0.0,PASS
SIDE_LEFT,2,F6,23.0,23.0,0.0,0.0,0.0,PASS
SIDE_LEFT,3,F4,37.0,37.0,0.0,0.0,0.0,PASS
SIDE_LEFT,4,F1,318.0,318.0,0.0,0.0,0.0,PASS
SIDE_LEFT,5,F0,611.0,611.0,0.0,0.0,0.0,PASS
SIDE_LEFT,6,F2,51.0,51.0,0.0,0.0,0.0,PASS
SIDE_LEFT,7,F3,41.0,41.0,0.0,0.0,0.0,PASS
SIDE_LEFT,8,F5,29.0,29.0,0.0,,0.0,PASS
A-A,1,F11,29.0,29.0,0.0,0.0,0.0,PASS
A-A,2,F10,38.0,38.0,0.0,0.0,0.0,PASS
A-A,3,F8,53.0,53.0,0.0,0.0,0.0,PASS
A-A,4,F0,1977.9997455005941,1978.0,0.00025449940585531294,0.0,0.0,PASS
A-A,5,F9,51.0,51.0,0.0,0.0,0.0,PASS
A-A,6,F12,17.0,17.0,0.0,,0.0,PASS
